Unnamed: 0,dir_name,old_fname,new_fname,old_string,new_string
0,/src/main,column_varcon.F90,ctsm_ColumnVarCon.F90,column_varcon,ctsm_ColumnVarCon
1,/src/main,initGridCellsMod.F90,ctsm_InitGridCells.F90,initGridCellsMod,ctsm_InitGridCells
2,/src/main,clm_varsur.F90,ctsm_VarSur.F90,clm_instur,ctsm_VarSur
3,/src/main,clm_varpar.F90,ctsm_VarPar.F90,clm_varpar,ctsm_VarPar
4,/src/main,filterColMod.F90,ctsm_FilterCol.F90,filterColMod,ctsm_FilterCol
5,/src/main,GetGlobalValuesMod.F90,ctsm_GetGlobalValues.F90,GetGlobalValuesMod,ctsm_GetGlobalValues
6,/src/main,restFileMod.F90,ctsm_RestFile.F90,restFileMod,ctsm_RestFile
7,/src/main,accumulMod.F90,ctsm_Accumulators.F90,accumulMod,ctsm_Accumulators
8,/src/main,clm_driver.F90,ctsm_Driver.F90,clm_driver,ctsm_Driver
9,/src/main,LandunitType.F90,ctsm_LandunitType.F90,LandunitType,ctsm_LandunitType
10,/src/main,ColumnType.F90,ctsm_ColumnType.F90,ColumnType,ctsm_ColumnType
11,/src/main,subgridMod.F90,ctsm_Subgrid.F90,subgridMod,ctsm_Subgrid
12,/src/main,decompMod.F90,ctsm_Decomp.F90,decompMod,ctsm_Decomp
13,/src/main,subgridWeightsMod.F90,ctsm_SubgridWeights.F90,subgridWeightsMod,ctsm_SubgridWeights
14,/src/main,FuncPedotransferMod.F90,ctsm_FuncPedotransfer.F90,FuncPedotransferMod,ctsm_FuncPedotransfer
15,/src/main,glc2lndMod.F90,ctsm_Glc2Lnd.F90,glc2lndMod,ctsm_Glc2Lnd
16,/src/main,clm_varcon.F90,ctsm_VarCon.F90,clm_varcon,ctsm_VarCon
17,/src/main,lnd2atmType.F90,ctsm_Lnd2AtmType.F90,lnd2atmType,ctsm_Lnd2AtmType
18,/src/main,subgridAveMod.F90,ctsm_SubgridAve.F90,subgridAveMod,ctsm_SubgridAve
19,/src/main,landunit_varcon.F90,ctsm_LandunitVarCon.F90,landunit_varcon,ctsm_LandunitVarCon
20,/src/main,atm2lndType.F90,ctsm_Atm2LndType.F90,atm2lndType,ctsm_Atm2LndType
21,/src/main,filterMod.F90,ctsm_Filters.F90,filterMod,ctsm_Filters
22,/src/main,readParamsMod.F90,ctsm_ReadParams.F90,readParamsMod,ctsm_ReadParams
23,/src/main,init_hydrology.F90,ctsm_InitHydrology.F90,init_hydrology,ctsm_InitHydrology
24,/src/main,clm_initializeMod.F90,ctsm_Initialize.F90,clm_initializeMod,ctsm_Initialize
25,/src/main,TopoMod.F90,ctsm_Topo.F90,TopoMod,ctsm_Topo
26,/src/main,surfrdMod.F90,ctsm_SurfRead.F90,surfrdMod,ctsm_SurfRead
27,/src/main,decompInitMod.F90,ctsm_DecompInit.F90,decompInitMod,ctsm_DecompInit
28,/src/main,lnd2glcMod.F90,ctsm_Lnd2Glc.F90,lnd2glcMod,ctsm_Lnd2Glc
29,/src/main,subgridRestMod.F90,ctsm_SubgridRest.F90,subgridRestMod,ctsm_SubgridRest
30,/src/main,clm_varctl.F90,ctsm_VarCtl.F90,clm_varctl,ctsm_VarCtl
31,/src/main,pftconMod.F90,ctsm_PftCon.F90,pftconMod,ctsm_PftCon
32,/src/main,lnd2atmMod.F90,ctsm_Lnd2Atm.F90,lnd2atmMod,ctsm_Lnd2Atm
33,/src/main,PatchType.F90,ctsm_PatchType.F90,PatchType,ctsm_PatchType
34,/src/main,initVerticalMod.F90,ctsm_InitVertical.F90,initVerticalMod,ctsm_InitVertical
35,/src/main,organicFileMod.F90,ctsm_OrganicFile.F90,organicFileMod,ctsm_OrganicFile
36,/src/main,ndepStreamMod.F90,ctsm_NDepStream.F90,ndepStreamMod,ctsm_NDepStream
37,/src/main,abortutils.F90,ctsm_AbortUtils.F90,abortutils,ctsm_AbortUtils
38,/src/main,controlMod.F90,ctsm_Control.F90,controlMod,ctsm_Control
39,/src/main,clm_instMod.F90,ctsm_Inst.F90,clm_instMod,ctsm_Inst
40,/src/main,paramUtilMod.F90,ctsm_ParamUtil.F90,paramUtilMod,ctsm_ParamUtil
41,/src/main,glcBehaviorMod.F90,ctsm_GlacierBehavior.F90,glcBehaviorMod,ctsm_GlacierBehavior
42,/src/main,surfrdUtilsMod.F90,ctsm_SurfReadUtils.F90,surfrdUtilsMod,ctsm_SurfReadUtils
43,/src/main,initSubgridMod.F90,ctsm_InitSubgrid.F90,initSubgridMod,ctsm_InitSubgrid
44,/src/main,histFileMod.F90,ctsm_HistFile.F90,histFileMod,ctsm_HistFile
45,/src/main,reweightMod.F90,ctsm_Reweight.F90,reweightMod,ctsm_Reweight
46,/src/main,atm2lndMod.F90,ctsm_Atm2Lnd.F90,atm2lndMod,ctsm_Atm2Lnd
47,/src/main,ncdio_utils.F90,ctsm_NcdIoUtils.F90,ncdio_utils,ctsm_NcdIoUtils
48,/src/main,GridcellType.F90,ctsm_GridcellType.F90,GridcellType,ctsm_GridcellType
49,/src/cpl/mct,clm_cpl_indices.F90,clm_cpl_indices.F90,clm_cpl_indices,clm_cpl_indices
50,/src/cpl/mct,lnd_import_export.F90,lnd_import_export.F90,lnd_import_export,lnd_import_export
51,/src/cpl/mct,lnd_comp_mct.F90,lnd_comp_mct.F90,lnd_comp_mct,lnd_comp_mct
52,/src/cpl/nuopc,lnd_import_export.F90,lnd_import_export.F90,lnd_import_export,lnd_import_export
53,/src/cpl/nuopc,lnd_shr_methods.F90,lnd_shr_methods.F90,lnd_shr_methods,lnd_shr_methods
54,/src/cpl/nuopc,lnd_comp_nuopc.F90,lnd_comp_nuopc.F90,lnd_comp_nuopc,lnd_comp_nuopc
